[2025-06-01 01:29:13.468] [BotDecisionTactica          ] [INFO ] Decisión del USUARIO para 'EVT-SEL-20250601012856-0004': Enviar a LogDB, Knuckles
[2025-06-01 01:29:13.470] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:29:31.514] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:29:31.527] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601012930-0005' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:29:31.530] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601012930-0005' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:29:39.549] [BotDecisionTactica          ] [INFO ] Decisión del usuario recibida para 'EVT-SEL-20250601012930-0005': all_heroes
[2025-06-01 01:29:39.550] [BotDecisionTactica          ] [DEBUG] Archivo de decisión 'decision_EVT-SEL-20250601012930-0005.json' eliminado.
[2025-06-01 01:29:39.550] [BotDecisionTactica          ] [INFO ] Decisión del USUARIO para 'EVT-SEL-20250601012930-0005': Enviar a LogDB, Sonic, Knuckles, Tails
[2025-06-01 01:29:39.552] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:29:58.605] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:29:58.618] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601012957-0006' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:29:58.621] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601012957-0006' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:30:07.642] [BotDecisionTactica          ] [INFO ] Decisión del usuario recibida para 'EVT-SEL-20250601012957-0006': sonic_tails
[2025-06-01 01:30:07.643] [BotDecisionTactica          ] [DEBUG] Archivo de decisión 'decision_EVT-SEL-20250601012957-0006.json' eliminado.
[2025-06-01 01:30:07.644] [BotDecisionTactica          ] [INFO ] Decisión del USUARIO para 'EVT-SEL-20250601012957-0006': Enviar a LogDB, Sonic, Tails
[2025-06-01 01:30:07.645] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:30:26.713] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:30:26.724] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601013026-0007' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:30:26.727] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601013026-0007' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:30:35.750] [BotDecisionTactica          ] [INFO ] Decisión del usuario recibida para 'EVT-SEL-20250601013026-0007': all_heroes
[2025-06-01 01:30:35.751] [BotDecisionTactica          ] [DEBUG] Archivo de decisión 'decision_EVT-SEL-20250601013026-0007.json' eliminado.
[2025-06-01 01:30:35.752] [BotDecisionTactica          ] [INFO ] Decisión del USUARIO para 'EVT-SEL-20250601013026-0007': Enviar a LogDB, Sonic, Knuckles, Tails
[2025-06-01 01:30:35.753] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:30:58.821] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:30:58.831] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601013058-0008' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:30:58.835] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601013058-0008' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:31:14.864] [BotDecisionTactica          ] [INFO ] Decisión del usuario recibida para 'EVT-SEL-20250601013058-0008': register_only
[2025-06-01 01:31:14.865] [BotDecisionTactica          ] [DEBUG] Archivo de decisión 'decision_EVT-SEL-20250601013058-0008.json' eliminado.
[2025-06-01 01:31:14.865] [BotDecisionTactica          ] [INFO ] Decisión del USUARIO para 'EVT-SEL-20250601013058-0008': Enviar a LogDB
[2025-06-01 01:31:14.867] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:31:34.906] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:31:34.917] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601013134-0009' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:31:34.920] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601013134-0009' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:31:45.944] [BotDecisionTactica          ] [INFO ] Decisión del usuario recibida para 'EVT-SEL-20250601013134-0009': sonic_tails
[2025-06-01 01:31:45.945] [BotDecisionTactica          ] [DEBUG] Archivo de decisión 'decision_EVT-SEL-20250601013134-0009.json' eliminado.
[2025-06-01 01:31:45.945] [BotDecisionTactica          ] [INFO ] Decisión del USUARIO para 'EVT-SEL-20250601013134-0009': Enviar a LogDB, Sonic, Tails
[2025-06-01 01:31:45.947] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:32:10.023] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:32:10.033] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601013209-0010' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:32:10.036] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601013209-0010' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:32:50.102] [BotDecisionTactica          ] [INFO ] Timeout esperando decisión del usuario para 'EVT-SEL-20250601013209-0010'. Tomando decisión automática.
[2025-06-01 01:32:50.103] [BotDecisionTactica          ] [INFO ] Archivo de auto-decisión 'auto_decision_EVT-SEL-20250601013209-0010.json' creado en 'data_dashboard'.
[2025-06-01 01:32:50.104] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601013209-0010' debido a: Timeout
[2025-06-01 01:32:50.104] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza crítica, notificando a todos los héroes principales.
[2025-06-01 01:32:50.105] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601013209-0010': Enviar a Tails, Knuckles, LogDB, Sonic
[2025-06-01 01:32:50.106] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:33:10.166] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:33:10.180] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601013309-0011' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:33:10.183] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601013309-0011' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:33:50.236] [BotDecisionTactica          ] [INFO ] Timeout esperando decisión del usuario para 'EVT-SEL-20250601013309-0011'. Tomando decisión automática.
[2025-06-01 01:33:50.238] [BotDecisionTactica          ] [INFO ] Archivo de auto-decisión 'auto_decision_EVT-SEL-20250601013309-0011.json' creado en 'data_dashboard'.
[2025-06-01 01:33:50.238] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601013309-0011' debido a: Timeout
[2025-06-01 01:33:50.239] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza alta, notificando a Sonic y Tails si está cerca (No).
[2025-06-01 01:33:50.239] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601013309-0011': Enviar a LogDB, Sonic
[2025-06-01 01:33:50.241] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:34:10.376] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:34:10.386] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601013409-0012' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:34:10.389] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601013409-0012' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:34:50.440] [BotDecisionTactica          ] [INFO ] Timeout esperando decisión del usuario para 'EVT-SEL-20250601013409-0012'. Tomando decisión automática.
[2025-06-01 01:34:50.442] [BotDecisionTactica          ] [INFO ] Archivo de auto-decisión 'auto_decision_EVT-SEL-20250601013409-0012.json' creado en 'data_dashboard'.
[2025-06-01 01:34:50.443] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601013409-0012' debido a: Timeout
[2025-06-01 01:34:50.443] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza media, notificando a héroes cercanos o uno al azar.
[2025-06-01 01:34:50.444] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601013409-0012': Enviar a LogDB, Sonic
[2025-06-01 01:34:50.445] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:35:10.791] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:35:10.808] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601013509-0013' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:35:10.812] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601013509-0013' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:35:50.871] [BotDecisionTactica          ] [INFO ] Timeout esperando decisión del usuario para 'EVT-SEL-20250601013509-0013'. Tomando decisión automática.
[2025-06-01 01:35:50.873] [BotDecisionTactica          ] [INFO ] Archivo de auto-decisión 'auto_decision_EVT-SEL-20250601013509-0013.json' creado en 'data_dashboard'.
[2025-06-01 01:35:50.873] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601013509-0013' debido a: Timeout
[2025-06-01 01:35:50.873] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza media, notificando a héroes cercanos o uno al azar.
[2025-06-01 01:35:50.874] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601013509-0013': Enviar a LogDB, Sonic
[2025-06-01 01:35:50.875] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:36:09.937] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:36:09.948] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601013609-0014' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:36:09.951] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601013609-0014' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:36:50.003] [BotDecisionTactica          ] [INFO ] Timeout esperando decisión del usuario para 'EVT-SEL-20250601013609-0014'. Tomando decisión automática.
[2025-06-01 01:36:50.005] [BotDecisionTactica          ] [INFO ] Archivo de auto-decisión 'auto_decision_EVT-SEL-20250601013609-0014.json' creado en 'data_dashboard'.
[2025-06-01 01:36:50.006] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601013609-0014' debido a: Timeout
[2025-06-01 01:36:50.006] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza alta, notificando a Sonic y Tails si está cerca (No).
[2025-06-01 01:36:50.007] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601013609-0014': Enviar a LogDB, Sonic
[2025-06-01 01:36:50.009] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:37:14.112] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:37:14.127] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601013713-0015' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:37:14.133] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601013713-0015' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:37:54.186] [BotDecisionTactica          ] [INFO ] Timeout esperando decisión del usuario para 'EVT-SEL-20250601013713-0015'. Tomando decisión automática.
[2025-06-01 01:37:54.188] [BotDecisionTactica          ] [INFO ] Archivo de auto-decisión 'auto_decision_EVT-SEL-20250601013713-0015.json' creado en 'data_dashboard'.
[2025-06-01 01:37:54.188] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601013713-0015' debido a: Timeout
[2025-06-01 01:37:54.189] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza crítica, notificando a todos los héroes principales.
[2025-06-01 01:37:54.189] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601013713-0015': Enviar a Tails, Knuckles, LogDB, Sonic
[2025-06-01 01:37:54.191] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:38:11.309] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:38:11.322] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601013810-0016' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:38:11.325] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601013810-0016' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:38:51.378] [BotDecisionTactica          ] [INFO ] Timeout esperando decisión del usuario para 'EVT-SEL-20250601013810-0016'. Tomando decisión automática.
[2025-06-01 01:38:51.380] [BotDecisionTactica          ] [INFO ] Archivo de auto-decisión 'auto_decision_EVT-SEL-20250601013810-0016.json' creado en 'data_dashboard'.
[2025-06-01 01:38:51.380] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601013810-0016' debido a: Timeout
[2025-06-01 01:38:51.381] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza alta, notificando a Sonic y Tails si está cerca (No).
[2025-06-01 01:38:51.382] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601013810-0016': Enviar a LogDB, Sonic
[2025-06-01 01:38:51.384] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:39:06.448] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:39:06.460] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601013905-0017' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:39:06.472] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601013905-0017' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:39:46.525] [BotDecisionTactica          ] [INFO ] Timeout esperando decisión del usuario para 'EVT-SEL-20250601013905-0017'. Tomando decisión automática.
[2025-06-01 01:39:46.527] [BotDecisionTactica          ] [INFO ] Archivo de auto-decisión 'auto_decision_EVT-SEL-20250601013905-0017.json' creado en 'data_dashboard'.
[2025-06-01 01:39:46.527] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601013905-0017' debido a: Timeout
